POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
0001	Oslo	0001 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2012-09-28 19:49:37
0010	Oslo	0010 OSLO	Gateadresser og postboksar	0	Sentrum	301	Oslo	Oslo	59.9171	10.7274	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:06:48
0014	Oslo (ikkje i bruk)	0014 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0015	Oslo	0015 OSLO	Firma/organisasjon med eige postnummer		Sentrum	301	Oslo	Oslo	59.9093	10.7387	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:17:32
0016	Oslo (ikkje i bruk)	0016 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Vestre Aker	301	Oslo	Oslo	59.9439	10.6551	2	Koordinatane er retta av Erik Bolstad	2013-09-18 23:39:52
0017	Oslo (ikkje i bruk)	0017 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			219	Bærum	Akershus	59.9172	10.5049	2	Koordinatane er retta av Erik Bolstad	2013-09-18 23:39:52
0018	Oslo	0018 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9078	10.7405	2	Koordinatane er retta av Erik Bolstad	2012-09-28 19:49:49
0020	Oslo (ikkje i bruk)	0020 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0021	Oslo	0021 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9097	10.7254	5	Koordinatane er retta av ein yr.no-brukar	2013-04-03 10:02:40
0022	Oslo (Ikkje i bruk)	0022 OSLO (Ikkje i bruk)	Firma/organisasjon med eige postnummer		Sentrum	301	Oslo	Oslo	59.9134	10.7572	2	Koordinatane er retta av Erik Bolstad	2012-09-24 17:05:42
0023	Oslo (ikkje i bruk)	0023 OSLO (ikkje i bruk)	Fleire bruksområde			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0024	Oslo	0024 OSLO	Servicepostnummer		Alna	301	Oslo	Oslo	59.9283	10.8519	2	Koordinatane er retta av Erik Bolstad	2012-12-28 16:17:43
0025	Oslo	0025 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.91124	10.75156	1	Koordinatane gjeld postkontoret	2012-09-28 19:49:49
0026	Oslo	0026 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9132	10.7403	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:01
0027	Oslo (Ikkje i bruk)	0027 OSLO  (Ikkje i bruk)	Firma/organisasjon med eige postnummer		Nordre Aker	301	Oslo	Oslo	59.9479	10.7157	2	Koordinatane er retta av Erik Bolstad	2012-09-24 17:05:42
0028	Oslo	0028 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.91432	10.74927	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
0030	Oslo	0030 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0031	Oslo	0031 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0032	Oslo	0032 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0033	Oslo	0033 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0034	Oslo	0034 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0037	Oslo	0037 OSLO	Fleire bruksområde		Sentrum	301	Oslo	Oslo	59.9125	10.7341	2	Koordinatane er retta av Erik Bolstad	2013-11-01 10:32:41
0040	Oslo	0040 OSLO	Servicepostnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	6	Usikker plassering	2013-06-08 01:30:29
0041	Oslo (ikkje i bruk)	0041 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0042	Oslo (ikkje i bruk)	0042 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0043	Oslo (ikkje i bruk)	0043 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0045	Oslo	0045 OSLO	Gate-/veg-adresse		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2014-10-04 15:40:12
0046	Oslo	0046 OSLO	Servicepostnummer		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2014-01-10 11:18:58
0047	Oslo	0047 OSLO	Servicepostnummer		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2014-01-10 11:18:58
0048	Oslo	0048 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9109	10.7506	2	Koordinatane er retta av Erik Bolstad	2014-10-04 15:00:12
0050	Oslo	0050 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9127	10.7522	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:01
0051	Oslo	0051 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0055	Oslo	0055 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9125	10.7468	2	Koordinatane er retta av Erik Bolstad	2016-01-27 13:53:28
0060	Oslo	0060 OSLO	Servicepostnummer			301	Oslo	Oslo	59.9339	10.8503	2	Koordinatane er retta av Erik Bolstad	2012-11-23 20:10:18
